               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.069209,             0.20783,            0.039155,             0.45266,             0.29837,             0.29551,             0.14467,             0.06564,             0.15734,            0.031108,            0.008145,            0.008145,            0.008145
                  92,            0.069241,             0.20749,            0.039152,             0.46056,             0.29641,             0.29586,             0.14545,            0.065574,             0.15726,            0.030956,           0.0081068,           0.0081068,           0.0081068
                  93,            0.069123,             0.20696,            0.039138,              0.4499,             0.30649,             0.29512,             0.14524,            0.065598,             0.15741,             0.03099,           0.0080682,           0.0080682,           0.0080682
                  94,            0.069161,             0.20748,            0.039043,              0.4624,             0.30146,             0.29705,              0.1447,            0.065595,             0.15742,            0.030928,           0.0080294,           0.0080294,           0.0080294
                  95,            0.069165,             0.20802,            0.038891,             0.43748,             0.31068,             0.29435,             0.14432,            0.065567,             0.15731,            0.030895,           0.0079903,           0.0079903,           0.0079903
                  96,            0.069213,             0.20786,            0.038912,             0.46072,             0.30242,              0.2983,             0.14639,            0.065582,             0.15748,            0.030889,           0.0079509,           0.0079509,           0.0079509
                  97,            0.069276,             0.20835,            0.038952,             0.46512,             0.29117,             0.29664,             0.14625,            0.065556,             0.15729,            0.030778,           0.0079112,           0.0079112,           0.0079112
                  98,            0.069161,             0.20703,            0.039033,             0.47419,             0.29119,             0.29492,             0.14515,            0.065584,             0.15747,             0.03086,           0.0078713,           0.0078713,           0.0078713
                  99,            0.069193,             0.20755,            0.038924,             0.43353,             0.31144,             0.29495,              0.1461,            0.065509,             0.15744,            0.030804,           0.0078311,           0.0078311,           0.0078311
                 100,            0.069099,             0.20734,            0.038886,             0.44473,              0.2987,             0.29479,             0.14477,            0.065565,             0.15737,            0.030762,           0.0077907,           0.0077907,           0.0077907
                 101,            0.069154,             0.20752,              0.0389,             0.46165,              0.3078,             0.29826,             0.14786,            0.065534,             0.15739,            0.030735,             0.00775,             0.00775,             0.00775
                 102,             0.06911,             0.20744,            0.038938,             0.44323,             0.30921,             0.29632,             0.14645,            0.065564,             0.15735,            0.030756,           0.0077091,           0.0077091,           0.0077091
                 103,            0.069107,             0.20689,            0.038926,             0.45707,             0.30518,              0.2965,             0.14551,            0.065547,             0.15755,            0.030768,           0.0076679,           0.0076679,           0.0076679
                 104,            0.069115,             0.20784,            0.038867,             0.44341,             0.30898,             0.30085,             0.14678,            0.065546,             0.15724,             0.03082,           0.0076265,           0.0076265,           0.0076265
                 105,            0.069061,             0.20746,            0.038774,              0.4716,             0.29786,             0.29781,               0.147,            0.065547,             0.15723,            0.030826,           0.0075848,           0.0075848,           0.0075848
                 106,            0.069054,             0.20725,            0.038696,             0.48454,             0.29322,             0.29621,             0.14581,            0.065606,             0.15722,            0.030797,            0.007543,            0.007543,            0.007543
                 107,            0.069031,             0.20689,            0.038779,             0.44682,             0.31239,             0.29911,             0.14644,            0.065525,             0.15721,            0.030757,           0.0075009,           0.0075009,           0.0075009
                 108,            0.069053,             0.20772,            0.038788,             0.49775,             0.28683,             0.30088,             0.14823,            0.065503,              0.1574,            0.030644,           0.0074585,           0.0074585,           0.0074585
                 109,            0.069086,             0.20743,            0.038683,             0.47734,             0.29192,             0.29834,             0.14568,            0.065501,             0.15724,            0.030676,            0.007416,            0.007416,            0.007416
                 110,            0.069056,             0.20756,            0.038598,              0.4712,             0.30225,             0.29851,              0.1468,            0.065484,             0.15711,            0.030634,           0.0073733,           0.0073733,           0.0073733
                 111,            0.069048,             0.20741,            0.038688,             0.44975,             0.30705,             0.29814,              0.1465,             0.06548,             0.15727,            0.030674,           0.0073303,           0.0073303,           0.0073303
                 112,            0.069016,             0.20723,            0.038672,             0.47753,             0.29386,             0.29842,             0.14545,            0.065512,             0.15727,            0.030632,           0.0072872,           0.0072872,           0.0072872
                 113,            0.068984,             0.20729,            0.038607,             0.45181,             0.30539,             0.29897,             0.14713,            0.065508,             0.15727,            0.030658,           0.0072438,           0.0072438,           0.0072438
                 114,            0.068969,             0.20758,            0.038645,             0.45723,             0.30623,             0.30039,             0.14644,            0.065427,             0.15735,            0.030568,           0.0072003,           0.0072003,           0.0072003
                 115,            0.068909,             0.20618,            0.038529,              0.4688,             0.29632,             0.30137,             0.14734,            0.065476,             0.15739,            0.030651,           0.0071566,           0.0071566,           0.0071566
                 116,            0.068964,             0.20681,             0.03855,             0.45249,              0.3048,             0.30005,             0.14767,             0.06546,             0.15721,            0.030525,           0.0071127,           0.0071127,           0.0071127
                 117,            0.068912,             0.20665,             0.03855,             0.44597,             0.31042,             0.30079,             0.14872,            0.065498,             0.15697,            0.030637,           0.0070686,           0.0070686,           0.0070686
                 118,            0.068992,             0.20704,            0.038456,             0.45992,             0.30514,             0.29924,              0.1474,            0.065464,             0.15712,            0.030542,           0.0070243,           0.0070243,           0.0070243
                 119,            0.068947,             0.20692,            0.038475,             0.47885,             0.30127,             0.30186,             0.14728,            0.065516,             0.15691,            0.030651,           0.0069799,           0.0069799,           0.0069799
                 120,            0.068876,             0.20665,            0.038517,             0.44093,             0.31569,             0.30162,               0.148,             0.06547,             0.15704,            0.030609,           0.0069353,           0.0069353,           0.0069353
                 121,            0.068863,             0.20625,            0.038417,              0.4733,             0.30431,              0.3016,             0.14888,            0.065507,             0.15704,            0.030533,           0.0068906,           0.0068906,           0.0068906
                 122,            0.068874,             0.20708,            0.038367,             0.45341,             0.30759,             0.30317,             0.14814,            0.065443,             0.15704,            0.030491,           0.0068457,           0.0068457,           0.0068457
                 123,            0.068908,             0.20725,            0.038376,                0.45,             0.30382,             0.30274,             0.14983,            0.065455,             0.15696,            0.030462,           0.0068006,           0.0068006,           0.0068006
                 124,            0.068846,               0.207,            0.038426,             0.46275,             0.30099,             0.30072,             0.14773,            0.065415,             0.15696,            0.030541,           0.0067555,           0.0067555,           0.0067555
                 125,            0.068848,             0.20648,            0.038361,             0.47857,             0.29869,             0.30443,             0.14877,            0.065417,             0.15692,            0.030562,           0.0067101,           0.0067101,           0.0067101
                 126,            0.068886,             0.20638,            0.038321,             0.46585,             0.30706,             0.30262,             0.14879,            0.065504,             0.15696,            0.030494,           0.0066647,           0.0066647,           0.0066647
                 127,            0.068812,             0.20702,            0.038276,             0.49381,             0.29349,              0.3026,             0.14895,            0.065393,             0.15693,            0.030535,           0.0066191,           0.0066191,           0.0066191
                 128,            0.068877,              0.2063,            0.038288,             0.45947,             0.30565,             0.30263,             0.14912,             0.06541,             0.15698,            0.030424,           0.0065734,           0.0065734,           0.0065734
                 129,            0.068814,             0.20679,            0.038248,              0.4473,             0.31043,              0.3027,             0.14918,            0.065438,             0.15674,            0.030453,           0.0065276,           0.0065276,           0.0065276
                 130,            0.068701,             0.20619,            0.038193,             0.45489,             0.31412,             0.30538,              0.1506,            0.065419,              0.1568,            0.030408,           0.0064816,           0.0064816,           0.0064816
                 131,            0.068784,             0.20678,              0.0382,              0.4386,             0.31464,             0.30187,             0.14952,            0.065433,             0.15698,            0.030478,           0.0064356,           0.0064356,           0.0064356
                 132,            0.068781,             0.20623,            0.038136,             0.46364,             0.30985,             0.30401,             0.14858,            0.065467,             0.15667,             0.03032,           0.0063895,           0.0063895,           0.0063895
                 133,            0.068788,             0.20654,             0.03818,              0.4431,             0.31135,             0.30148,             0.14829,            0.065423,             0.15689,            0.030376,           0.0063432,           0.0063432,           0.0063432
                 134,            0.068676,             0.20604,             0.03818,              0.4552,             0.31004,             0.30404,             0.14985,            0.065472,             0.15687,            0.030434,           0.0062969,           0.0062969,           0.0062969
                 135,             0.06876,             0.20625,             0.03811,             0.46901,             0.30794,             0.30362,             0.14969,            0.065468,              0.1568,            0.030355,           0.0062505,           0.0062505,           0.0062505
                 136,             0.06876,             0.20712,            0.037944,             0.44249,             0.31277,             0.30369,             0.14899,             0.06543,             0.15687,            0.030359,            0.006204,            0.006204,            0.006204
                 137,            0.068693,             0.20649,            0.038057,             0.45544,             0.31767,             0.30644,             0.14945,            0.065425,              0.1568,            0.030301,           0.0061574,           0.0061574,           0.0061574
                 138,            0.068657,             0.20611,            0.038053,             0.46434,             0.30866,             0.30577,             0.14978,            0.065405,             0.15676,            0.030304,           0.0061107,           0.0061107,           0.0061107
                 139,            0.068733,             0.20636,            0.038047,             0.44751,             0.31291,             0.30537,             0.14992,            0.065434,             0.15678,            0.030223,            0.006064,            0.006064,            0.006064
                 140,            0.068746,             0.20617,            0.037964,             0.49653,             0.29865,             0.30391,             0.14921,              0.0654,             0.15685,            0.030233,           0.0060172,           0.0060172,           0.0060172
                 141,            0.068606,             0.20636,            0.037879,             0.48212,              0.3035,             0.30428,             0.14959,            0.065414,             0.15662,            0.030162,           0.0059704,           0.0059704,           0.0059704
                 142,            0.068576,             0.20587,            0.037931,             0.46117,             0.30709,             0.30265,             0.14836,             0.06541,             0.15685,            0.030266,           0.0059235,           0.0059235,           0.0059235
                 143,            0.068655,             0.20606,            0.037848,             0.45957,             0.31122,             0.30444,              0.1495,            0.065397,             0.15685,            0.030327,           0.0058766,           0.0058766,           0.0058766
                 144,            0.068617,             0.20585,            0.037762,             0.49328,             0.29958,             0.30588,             0.15164,            0.065358,             0.15674,            0.030219,           0.0058296,           0.0058296,           0.0058296
                 145,            0.068562,             0.20669,            0.037788,             0.48921,             0.30537,             0.30537,             0.15056,            0.065402,             0.15675,            0.030195,           0.0057826,           0.0057826,           0.0057826
                 146,            0.068503,             0.20593,            0.037889,             0.43993,             0.32622,              0.3057,             0.15114,            0.065352,             0.15664,             0.03015,           0.0057355,           0.0057355,           0.0057355
                 147,            0.068546,             0.20625,            0.037847,             0.46891,             0.31015,             0.30533,             0.15067,             0.06536,             0.15674,            0.030202,           0.0056884,           0.0056884,           0.0056884
                 148,            0.068611,             0.20641,             0.03777,             0.50292,             0.29935,             0.30586,             0.15124,             0.06535,             0.15672,            0.030207,           0.0056413,           0.0056413,           0.0056413
                 149,            0.068567,             0.20625,            0.037784,             0.43648,             0.32405,              0.3061,              0.1503,            0.065378,             0.15652,            0.030094,           0.0055942,           0.0055942,           0.0055942
                 150,            0.068542,             0.20597,            0.037745,             0.44504,             0.32256,             0.30572,             0.15014,            0.065314,             0.15676,            0.030135,           0.0055471,           0.0055471,           0.0055471
                 151,            0.068528,             0.20632,            0.037675,             0.45917,             0.31051,             0.30617,             0.15153,            0.065396,             0.15681,             0.03014,              0.0055,              0.0055,              0.0055
                 152,            0.068488,             0.20617,            0.037691,             0.48489,               0.303,             0.30709,             0.15164,            0.065373,             0.15667,            0.030085,           0.0054529,           0.0054529,           0.0054529
                 153,            0.068513,             0.20593,             0.03759,             0.48271,             0.30102,             0.30653,             0.15152,            0.065381,             0.15656,            0.030165,           0.0054058,           0.0054058,           0.0054058
                 154,            0.068447,              0.2061,            0.037505,              0.4772,             0.30658,             0.30821,             0.15255,            0.065333,             0.15642,            0.030125,           0.0053587,           0.0053587,           0.0053587
                 155,             0.06843,              0.2057,            0.037398,             0.48595,             0.29919,             0.30823,             0.15265,            0.065295,             0.15653,            0.030081,           0.0053116,           0.0053116,           0.0053116
                 156,            0.068434,             0.20613,            0.037552,             0.45746,             0.31499,             0.30732,             0.15185,            0.065297,             0.15645,            0.030023,           0.0052645,           0.0052645,           0.0052645
                 157,            0.068349,             0.20499,            0.037533,             0.50257,             0.30181,              0.3093,             0.15139,            0.065313,             0.15647,             0.03017,           0.0052174,           0.0052174,           0.0052174
